doc_id,source_file,chunk_index,text,section_type,chunking_strategy,language,source_type,source_title,source_author,act,bbox,char_end,char_start,collection_id,confidence,content_hash,doi,frame_index,isbn,keywords,lemmas,line_number,modality,normalized_text,ocr_engine,page_number,paragraph_index,parent_doc_id,raw_dtype,raw_shape,scene_number,source_date,stems,timecode_end,timecode_start,tokens,transcript_language,transcript_type,url,video_id
2102da408d5834fd,https://www.youtube.com/watch?v=BCrtFp4ZBNg,0,Звичайний кашель - це може бути,text,sentence,,video,,,,,31,0,,,b67251398c8be7cb48b01a8c79b53895,,,,,,,text,,,,,,,,,,,6.2,1.0,,uk,auto_generated,,BCrtFp4ZBNg
e4220f86745dbf7d,https://www.youtube.com/watch?v=BCrtFp4ZBNg,3,"пітливість, втрата ваги, кашель.",text,sentence,,video,,,,,32,0,,,684fb0573aa219740caae733b2728c35,,,,,,,text,,,,,,,,,,,11.92,6.2,,uk,auto_generated,,BCrtFp4ZBNg
bfed048a6f0ac49b,https://www.youtube.com/watch?v=BCrtFp4ZBNg,4,Це можуть бути його симптоми.,text,sentence,,video,,,,,29,0,,,3dd57c3645a231d6b76f2423cb805ed0,,,,,,,text,,,,,,,,,,,14.719,9.08,,uk,auto_generated,,BCrtFp4ZBNg
73f32a4d074b02e3,https://www.youtube.com/watch?v=BCrtFp4ZBNg,5,"хоча б один з них, або ви мали контакт з",text,sentence,,video,,,,,40,0,,,96199a3c52b239f53bbd084488878ae9,,,,,,,text,,,,,,,,,,,17.359,11.92,,uk,auto_generated,,BCrtFp4ZBNg
223846f786db6a86,https://www.youtube.com/watch?v=BCrtFp4ZBNg,6,хворим на туберкульоз.,text,sentence,,video,,,,,22,0,,,4862175de961428f43ba9199a0d91115,,,,,,,text,,,,,,,,,,,20.08,14.719,,uk,auto_generated,,BCrtFp4ZBNg
93d7101c4247f980,https://www.youtube.com/watch?v=BCrtFp4ZBNg,8,"проблему, зверніться до лікаря.",text,sentence,,video,,,,,31,0,,,17595e24c8439c08e9c7ba8f8d3ceac4,,,,,,,text,,,,,,,,,,,22.64,17.359,,uk,auto_generated,,BCrtFp4ZBNg
0c946db7f9775607,https://www.youtube.com/watch?v=BCrtFp4ZBNg,9,призначити вам рентген грудної клітки.,text,sentence,,video,,,,,38,0,,,b7edefe622e826adc30245fe14968839,,,,,,,text,,,,,,,,,,,25.359,20.08,,uk,auto_generated,,BCrtFp4ZBNg
f96f8d362efca99d,https://www.youtube.com/watch?v=BCrtFp4ZBNg,10,"Туберкульоз виліковний, а лікування",text,sentence,,video,,,,,35,0,,,bf7242ebc85b73bb497a3d2be9db519f,,,,,,,text,,,,,,,,,,,28.359,22.64,,uk,auto_generated,,BCrtFp4ZBNg
e4dc53a823eb4e67,https://www.youtube.com/watch?v=BCrtFp4ZBNg,12,Дбайте про своє здоров'я та,text,sentence,,video,,,,,40,13,,,4ed272b378c884d92aa7c60b621516f5,,,,,,,text,,,,,,,,,,,31.88,25.359,,uk,auto_generated,,BCrtFp4ZBNg
1c9a059d1a2a4200,https://www.youtube.com/watch?v=BCrtFp4ZBNg,13,здоров'я своїх близьких.,text,sentence,,video,,,,,24,0,,,1a8d02116c96990c7cb8a1742c672351,,,,,,,text,,,,,,,,,,,31.88,28.359,,uk,auto_generated,,BCrtFp4ZBNg
